id,title,description,courseTitle
task_4991105788054a80b62b9634d27618fe,Case Study: Anvendt,"Using real or synthetic data, perform an in‑depth analysis related to anvendt økonomi. Present your results in a short technical memo (max 2 pages).",Anvendt økonomi
task_68957970dfb04935b2096450231cfb9c,Presentation: Anvendt,"Using real or synthetic data, perform an in‑depth analysis related to anvendt økonomi. Present your results in a short technical memo (max 2 pages).",Anvendt økonomi
task_bbf62d52e8da496d9c4ca091a5fd76f4,Reflection Essay: Anvendt,Complete a detailed case study focusing on anvendt økonomi within the scope of the course. Submit a 700‑word report and be prepared to discuss your findings in class.,Anvendt økonomi
task_621d23d681784fcd9d73bfea34d56ee0,Project Proposal: Anvendt,"Using real or synthetic data, perform an in‑depth analysis related to anvendt økonomi. Present your results in a short technical memo (max 2 pages).",Anvendt økonomi
task_e92781a416e44f4d9399d7397425c53c,Research Brief: Anvendt,"Using real or synthetic data, perform an in‑depth analysis related to anvendt økonomi. Present your results in a short technical memo (max 2 pages).",Anvendt økonomi
task_edc8cac046e4433fbfb9228439074824,Presentation: Anvendt,"Write a concise reflection essay exploring anvendt økonomi. Your essay should be roughly 600 words and demonstrate clear, logical reasoning supported by relevant examples.",Anvendt økonomi
task_e16c1197196c4f5b9df9762520738165,Reflection Essay: Anvendt,Draft a research brief summarising current trends and debates surrounding anvendt økonomi. Limit your brief to 1000 words.,Anvendt økonomi
task_9220f74b225440a484805ba77ad4a243,Case Study: Anvendt,Complete a detailed case study focusing on anvendt økonomi within the scope of the course. Submit a 700‑word report and be prepared to discuss your findings in class.,Anvendt økonomi
task_4dc73b7b926646a9a256a293f9bf35e9,Research Brief: Anvendt,Complete a detailed case study focusing on anvendt økonomi within the scope of the course. Submit a 700‑word report and be prepared to discuss your findings in class.,Anvendt økonomi
task_1fe4e1f49b3043abaf868bfd323757ba,Infographic Design: Anvendt,Draft a research brief summarising current trends and debates surrounding anvendt økonomi. Limit your brief to 1000 words.,Anvendt økonomi
task_7c785f6b174a44469e73bf3e43e81897,Infographic Design: Anvendt,Create an informative infographic that illustrates key aspects of anvendt økonomi. The file should be ready for digital publication.,Anvendt økonomi
task_bbd842321d504a9f9c5b4d17a3361831,Simulation Exercise: Anvendt,Complete a detailed case study focusing on anvendt økonomi within the scope of the course. Submit a 700‑word report and be prepared to discuss your findings in class.,Anvendt økonomi
task_6074311036684bd998e4e949464a6eef,Simulation Exercise: Anvendt,Complete a detailed case study focusing on anvendt økonomi within the scope of the course. Submit a 700‑word report and be prepared to discuss your findings in class.,Anvendt økonomi
task_8ed776f1c25c4fec88e851b0a17bbca6,Case Study: Anvendt,"Using real or synthetic data, perform an in‑depth analysis related to anvendt økonomi. Present your results in a short technical memo (max 2 pages).",Anvendt økonomi
task_2f5935edf2f64e1599dd434401aecee1,Group Project: Anvendt,Draft a research brief summarising current trends and debates surrounding anvendt økonomi. Limit your brief to 1000 words.,Anvendt økonomi
task_f727682c853942409319965f2898719b,Group Project: Anvendt,Design an engaging workshop activity that teaches peers about anvendt økonomi. Provide a facilitator’s guide and the necessary handouts.,Anvendt økonomi
task_f0e02325502d4fe9af83641b15502af4,Simulation Exercise: Anvendt,Collaborate with classmates to develop a group presentation on anvendt økonomi. Deliver a 10‑minute talk accompanied by visual aids.,Anvendt økonomi
task_7d9927cdc89a4f8b8dbfeb76fc7945bb,Infographic Design: Anvendt,Design an engaging workshop activity that teaches peers about anvendt økonomi. Provide a facilitator’s guide and the necessary handouts.,Anvendt økonomi
